Designator,Mid X,Mid Y,Rotation,Layer
C1,45.7275,-39.84,0.0,top
C2,49.89,-36.04,0.0,top
C3,49.87,-43.96,0.0,top
FB1,45.62,-43.93,0.0,top
FB2,45.68,-36.15,0.0,top
J1,33.71,-40.29,270.0,top
J2,60.0,-40.25,270.0,top
R1,41.92,-44.4875,270.0,top
U1,41.1425,-40.05,90.0,top
